10001,01-02-2004,l001,4,50000
10002,14-06-2005,l001,4,50000
10003,17-06-2005,l002,4,108160
10004,20-12-2010,l003,4,69960
10005,24-12-2010,l004,4,69960
10006,01-01-2011,l004,4,69960
10007,05-04-2012,l005,4,107760
10008,01-01-2015,l004,4,69960
10009,05-04-2016,l005,4,107760
10010,01-01-2017,l004,4,69960
10011,05-04-2018,l005,4,107760
10012,10-06-2024,l001,2,25000
10013,10-06-2024,l002,3,81120
10014,11-06-2024,l003,6,104940
10015,11-06-2024,l004,4,69960
10016,12-06-2024,l005,10,269400
10017,12-06-2024,l006,20,324800
10018,13-06-2024,l007,1,19130
10019,13-06-2024,l008,7,110180
10020,14-06-2024,l009,1,12290
10021,14-06-2024,l010,2,23400
10022,26-06-2024,l001,90,1125000
10023,26-06-2024,l013,5,77100
10024,26-06-2024,l002,4,108160
